ulasan,rating,sentiment
"tidak bisa mengupload foto kejadian, dan tidak ada tanggapan melapor dsini sekarang. payah",1,negatif
"Dengan Pro Denpasar, info dan permasalahan cepat tertangani",5,positif
"Memang top dan keren, sangat bermanfaat bagi masyarakat",5,positif
Pro Denpasar memang OK utk wadah informasi....Jaya lah selalu.,5,positif
"Layanannya mantap, keluhan masyarakat diselesaikan dengan cepat ..",5,positif
tanggapan prodenpasar kurang cepat,5,positif
"SANGAT2 MENGECEWAKAN,SAYA KAPOK DOWNLOAD APP YG TDK PNTING INI...",1,negatif
Baik cepat pelayanan 🙏🏻🙏🏻👍🏻👍🏻,5,positif
Aplikasi ini bagus Denpasar kotaku mantap,5,positif
Lebih di tingkatkan menjadi lbh baik,5,positif
Semakin maju dan bermanfaat dan bermanfaat bagi masyarakat,5,positif
Semakin maju dan terdepan,5,positif
"Pro Denpasar wadah informasi dan kreatifitas yang bermanfaat bagi masyarakat emang top n kerennnn,,,👍👍👍",5,positif
Pro denpasar membantu masyarakat dan berinovasi dalam memberikan pelayanan yang cepat dan baik,5,positif
"aplikasi ngga jelas, hapus saja deh",1,negatif
"Tidak bisa Uplod Foto Pengaduan dari Galery & Kamera, Min",5,positif
"download formulir ga bisa, daftar online ga bisa. trus bisanya apa?",1,negatif
Mau ngurus data pribadi aja dipersulit hadehhh ampas banget,1,negatif
Aplikasi ini sangat bermanfaat,5,positif
Aplikasi ini sangat bagus,5,positif
Mantap... Teruskan berinovasi dan berkolaborasi dalam memberikan pelayanan terbaik kepada masyarakat.,5,positif
Quick respon melayani publik,5,positif
Sangat bagus Denpasar Jayawibawa,5,positif
Sangat menarik,5,positif
"Bikin akun nggk bisa2,app ribet",1,negatif
Super app denpasar keren,5,positif
Baik dan Semoga bisa dimanfaatkan,4,positif
Aplikasi ini sangat membantu,5,positif
"Aplikasinya keren,🙏",5,positif
Aplikasi Pro Denpasar mempercepat informasi yang diinginkan oleh masyarakat,5,positif
"Semoga berjaya di darat, laut dan udara 💪👨",5,positif
Mantap...sangat bagus,5,positif
"Pro Denpasar sangat bermanfaat untuk masyarakat, mantap",5,positif
Denpasar harus siap hadapi Revolusi Industri Four Point Zero 👍,5,positif
Sangat membantu,5,positif
Gak Guna....Cuma Buang2 Kuota!!!,1,negatif
Semoga Denpasar menjadi kota terbaik,5,positif
Semangat untuk Denpasarku,5,positif
Pro Denpasar hebat,5,positif
Semoga bermanfaat bagi Masyarakat.,5,positif
Denpasar maju terus,5,positif
semoga bermanfaat,5,positif
Semoga bermanfaat,5,positif
aplikasi DPS user friendly,5,positif
Bagus,5,positif
Aplikasi naskleng,1,negatif
Mantap,5,positif
Bermanfaat 👍,5,positif
Denpasar maju,5,positif
Kota cerdas,5,positif
👍👍,5,positif
👍👍,5,positif
👍,5,positif
👍👍,5,positif
👍👍👍,5,positif
Tolong di betula lagi min buat andorid 7.0 wktu buka cctv nggk bisa,1,negatif
Uka cctv di nougat sll force close,1,negatif
kenapa setelah daftar saya tidak bisa login?,1,negatif
Aing nyidang log in.....delete gen nah,5,positif
server error trosss,1,negatif
"Ini saya saja atau mmg appnya bug? Pas dibuka ga ada gmbar apa2, kadang dibagian bursa kerja juga suka bug dibgian filter jobnya",4,positif
BUG Untuk android 7.0 ... begitu buka portal cctv / atcs langsung force close ... tolong diperbaiki bugnya,3,negatif
Aplikasi bagus untuk melapor pelayanan PDAM kota Denpasar yg sangat sangat buruk !!!!,5,positif
Quick responsibility kah?,5,positif
Awesome,5,positif
Mantappp...,5,positif
Ko life cctvya ga bs di buka ya,4,positif
Ne mare je mantapp...,5,positif
Kenapa ya pengaduan online pro denpasar plus ndak bisa dibuka??,3,negatif
"Mohon di tingkatkan lagi, media ini bagus tapi perlu perbaikan. Aploud foto ngambil dari galeri tidak bisa,,buka aplikasi ini sering mengalami gangguan server, kolom pengisian pengaduan terlalu pendek.",3,negatif
Salut buat walikota denpasar.. sekarang keluhan sy dapat sy salurkan. Trimakasi,5,positif
Salute,5,positif
top,5,positif
Mantap,5,positif
Smkin top lah Pak Rai Mantra,5,positif
Bagus sekali aada aplikasi inj jd mudah melaporkan kerusakan jalab dll tapi sering error dan loadingnya lambat dan berat,5,positif
inovasi walikota rai mantra top,5,positif
Bagus,5,positif
Ok,5,positif
Niatnya udah bagus... tapi ngak bisa login.. apaan ni..,1,negatif
Mantap...,5,positif
"Sangat inovatif tapi kenapa setiap saya daftar akun, selalu ada notif email sudah digunakan, tp saat saya login dikatakan email dan password salah. Sebelumnya saya sempat mendaftar dan mendapat notif eror",2,negatif
"Aplikasi apaan ini,, katanya mau bantu untuk pengaduan di masyarakat, pas mau login tidak bisa,, Mohon aplikasinya di repair ya, soalnya dekat rumah saya ada info penting,, Segera diperbaiki..",1,negatif
Mantap Buat Kota Denpasar Dan Kepada Walikota Denpasar Bpk I.B Rai Dharmawijaya Mantra Salut,5,positif
Kenapa tdk bisa di download ? Dari kemaren saya coba,1,negatif
Lumayan dalam memberikan informasi,3,negatif
Terima kasih denpasar telah menyediakan layanan pengaduan,5,positif
SAYA BELUM NYOBAIN PRO DENPASAR,5,positif
Dukuh sari sudah mencoba,5,positif
No Oddie,1,negatif
Top markotop aplikasinya,5,positif
Keren banget aplikasinya,5,positif
Menuju denpasar shanti,5,positif
Good,5,positif
Astukare,5,positif
Hebat,5,positif
Mantap,5,positif
top,5,positif
Mantapp💪,5,positif
Inspirasi banget😍😍😍😍😍,5,positif
Sangat membantu,5,positif
